longitude,latitude,sample_id,uid,timestamp,tweet,emotion_ct,happy,sad,neutral,angry,fear,surprise,disgust,emotions
-95.6047841,29.5911068,33,127,7/25/2017 20:16,LUNCH! Catch up time with my fav SIS! @ Los Tios Mexican Restaurant https://t.co/XuF2gskqRu,2,2,,,,,,,happy
-95.5394,29.5828,33,132,7/27/2017 3:38,"Happy birthday to my gorgeous girl, Diana!! LOVE YOU BIG!!! ?? @ Missouri City, Texas https://t.co/Y00SRzgjHt",6,4,,2,,,,,happy neutral
-95.43484337,29.73032844,33,143,8/3/2017 1:35,Love these beauties! sanchezbethany_bettyluv @ Lakewood Church https://t.co/eA4oT4w3Kv,3,3,,,,,,,happy
-95.57906,29.61302,33,148,8/7/2017 3:23,"HOUSTON LADIES!! Join me this Saturday, August 12th, 10 AM as my incredible Sister, Tena Ford,� https://t.co/NYgcEGCCAR",1,1,,,,,,,happy
-95.43484337,29.73032844,33,150,8/8/2017 1:05,"She's amazing!! I'm watching online and she's incredible, anointed and beautiful!! Watch online� https://t.co/JhljWxUoBI",1,1,,,,,,,happy
-95.57906,29.61302,33,151,8/8/2017 16:41,"4 more DAYs!! HOUSTON LADIES!! Join me this Saturday, August 12th, 10 AM as my incredible� https://t.co/0LSZk5swnl",1,1,,,,,,,happy
-95.57906,29.61302,33,152,8/11/2017 23:50,"TOMORROW HOUSTON LADIES!! Join me TOMORROW, August 12th, 10 AM as my incredible Sister, Tena� https://t.co/nd56nbAV04",1,1,,,,,,,happy
-95.57906,29.61302,33,154,8/12/2017 18:51,Loved tag team preaching with my fav Sis today!! Get your fight back. God created you a winner!!� https://t.co/lZ99x96zNY,3,2,,,1,,,,happy angry
-95.57906,29.61302,33,155,8/12/2017 19:38,"I love this amazing family.  They got up at 5 AM, loaded up 3 babies to drive 4 hours to our� https://t.co/cbvDoM38he",6,5,,1,,,,,happy neutral
-95.57906,29.61302,33,156,8/12/2017 19:51,I so appreciate these 2 Jesus gals and all of their love and support! They are so precious to� https://t.co/ZcaBsKjaK7,3,3,,,,,,,happy
-95.57906,29.61302,33,157,8/12/2017 20:00,The family of God!! I love my precious friends and thank you for coming out today. You are so� https://t.co/y6lM6B9Fv1,7,7,,,,,,,happy
-95.57906,29.61302,33,158,8/13/2017 13:02,"TODAY at 10:30 AM join me as I am honored to speak for my amazing Pastors, Richard and Tena� https://t.co/WVu5aPRz1C",1,1,,,,,,,happy
-95.57906,29.61302,33,161,8/14/2017 3:18,"Love this precious gal to pieces!! We closed the church down today, last ones to leave, after� https://t.co/4iUEioARpU",2,2,,,,,,,happy
-95.57906,29.61302,33,170,9/5/2017 20:17,Our first YOUTH band when I was a Youth Pastor!! A lil' blast from the past. You are the BEST� https://t.co/dl9dlxiOFV,3,3,,,,,,,happy
-95.3832,29.7629,30,454,8/3/2017 21:30,"Ese caballero, esa voz, ese hombre que te tiende su mano y te muestra siempre su afecto... un� https://t.co/iKTSXDMCIU",2,1,,1,,,,,happy neutral
-95.4647598,29.72767899,30,514,9/19/2017 8:48,"Nosotros somos ""compamigos"", de esos que comparten los donuts a las 5am y las aventuras de vida� https://t.co/3VNAaFY4xE",1,1,,,,,,,happy
